Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DATALOGGER_ADS_V1.brd" as of: 21/03/2021 08:07 p. m.
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.828,3.681,180
C2,Top,0.744,3.348,90
C3,Top,0.547,3.617,90
C4,Top,0.655,3.680,0
C5,Top,0.866,2.987,180
C6,Top,0.774,2.649,90
C7,Top,0.581,2.899,90
C8,Top,0.689,2.983,0
C9,Top,1.455,3.936,180
C10,Top,1.367,3.602,90
C11,Top,1.168,3.876,90
C12,Top,1.283,3.935,0
C13,Top,1.480,3.207,180
C14,Top,1.389,2.876,90
C15,Top,1.193,3.116,90
C16,Top,1.301,3.206,0
C17,Top,2.096,3.927,180
C18,Top,2.014,3.598,90
C19,Top,1.811,3.870,90
C20,Top,1.919,3.926,0
C21,Top,2.131,3.195,180
C22,Top,2.041,2.864,90
C23,Top,1.843,3.104,90
C24,Top,1.954,3.195,0
C25,Top,2.743,3.895,180
C26,Top,2.652,3.564,90
C27,Top,2.450,3.836,90
C28,Top,2.567,3.895,0
C29,Top,2.773,3.228,180
C30,Top,2.688,2.895,90
C31,Top,2.489,3.130,90
C32,Top,2.596,3.230,0
C33,Top,2.104,2.457,270
C34,Top,2.027,2.597,0
C35,Top,1.738,2.445,180
C36,Top,1.554,2.661,0
C37,Top,1.554,2.747,0
C38,Top,2.583,2.347,0
C39,Top,1.285,1.921,180
C40,Top,2.027,1.777,0
C41,Top,1.630,1.474,270
C42,Bottom,2.623,3.749,180
C43,Bottom,2.710,3.418,90
C44,Bottom,2.904,3.653,90
C45,Bottom,2.802,3.748,0
C46,Bottom,2.614,3.058,180
C47,Bottom,2.699,2.732,90
C48,Bottom,2.899,2.963,90
C49,Bottom,2.790,3.060,0
C50,Bottom,1.963,3.767,180
C51,Bottom,2.052,3.435,90
C52,Bottom,2.256,3.668,90
C53,Bottom,2.140,3.768,0
C54,Bottom,1.981,3.044,180
C55,Bottom,2.062,2.715,90
C56,Bottom,2.264,2.967,90
C57,Bottom,2.157,3.044,0
C58,Bottom,1.378,3.761,180
C59,Bottom,1.465,3.433,90
C60,Bottom,1.659,3.661,90
C61,Bottom,1.555,3.763,0
C62,Bottom,1.363,3.051,180
C63,Bottom,1.444,2.724,90
C64,Bottom,1.642,2.976,90
C65,Bottom,1.538,3.054,0
C66,Bottom,0.726,3.726,180
C67,Bottom,0.809,3.398,90
C68,Bottom,1.006,3.630,90
C69,Bottom,0.904,3.729,0
C70,Bottom,0.737,3.058,180
C71,Bottom,0.823,2.732,90
C72,Bottom,1.018,2.967,90
C73,Bottom,0.912,3.058,0
C74,Bottom,2.429,2.421,90
C75,Bottom,2.464,2.175,180
C76,Bottom,2.209,2.423,0
C77,Bottom,1.937,2.389,90
C78,Bottom,1.938,2.262,270
C79,Bottom,1.656,2.160,0
C80,Bottom,2.983,1.545,180
C81,Bottom,2.181,1.467,0
C82,Bottom,2.568,1.159,270
C83,Top,5.227,0.963,90
C84,Top,4.900,1.047,0
C85,Top,5.134,1.248,0
C86,Top,5.227,1.141,270
C87,Top,5.247,1.564,0
C88,Top,5.330,1.890,270
C89,Top,5.530,1.656,270
C90,Top,5.425,1.564,180
C91,Top,5.772,1.555,0
C92,Top,5.859,1.883,270
C93,Top,6.055,1.647,270
C94,Top,5.948,1.555,180
C95,Top,6.284,1.510,0
C96,Top,6.369,1.839,270
C97,Top,6.565,1.604,270
C98,Top,6.459,1.510,180
C99,Top,5.358,2.563,0
C100,Top,5.097,2.627,90
C101,Top,5.360,2.374,270
C102,Top,5.067,2.174,90
C103,Top,5.149,2.173,90
C104,Top,5.547,2.463,180
C105,Top,5.959,2.066,0
C106,Top,6.438,2.388,0
C107,Top,6.439,2.469,0
C114,Top,2.391,2.613,0
C115,Top,2.245,2.611,0
C116,Top,5.102,2.821,90
C117,Top,5.442,2.796,270
C118,Bottom,2.668,2.173,180
C119,Bottom,2.636,2.474,0
IC31,Top,5.544,1.100,90
IC32,Top,5.827,1.097,90
IC33,Top,6.103,1.101,90
IC34,Top,6.380,1.126,90
IC35,Top,6.434,3.987,270
IC36,Top,6.260,3.986,270
IC37,Top,6.087,3.985,270
IC38,Top,5.913,3.985,270
IC39,Top,5.730,3.985,270
IC40,Top,5.556,3.985,270
IC41,Top,5.386,3.984,270
IC42,Top,5.214,3.986,270
R1,Top,0.848,3.787,90
R2,Top,0.930,3.349,90
R3,Top,0.844,3.350,90
R4,Top,0.637,3.784,90
R5,Top,0.554,3.347,90
R6,Top,0.644,3.347,90
R7,Top,0.847,3.096,90
R8,Top,0.964,2.648,90
R9,Top,0.872,2.649,90
R10,Top,0.709,3.096,90
R11,Top,0.579,2.648,90
R12,Top,0.670,2.649,90
R13,Top,1.435,4.048,90
R14,Top,1.553,3.603,90
R15,Top,1.461,3.602,90
R16,Top,1.302,4.046,90
R17,Top,1.176,3.602,90
R18,Top,1.267,3.602,90
R19,Top,1.460,3.313,90
R20,Top,1.580,2.876,90
R21,Top,1.482,2.876,90
R22,Top,1.319,3.313,90
R23,Top,1.198,2.878,90
R24,Top,1.294,2.877,90
R25,Top,2.078,4.030,90
R26,Top,2.195,3.598,90
R27,Top,2.104,3.599,90
R28,Top,1.940,4.034,90
R29,Top,1.819,3.599,90
R30,Top,1.912,3.598,90
R31,Top,2.112,3.303,90
R32,Top,2.233,2.864,90
R33,Top,2.143,2.864,90
R34,Top,1.974,3.299,90
R35,Top,1.840,2.865,90
R36,Top,1.933,2.865,90
R37,Top,2.725,4.002,90
R38,Top,2.844,3.562,90
R39,Top,2.750,3.564,90
R40,Top,2.585,4.001,90
R41,Top,2.465,3.563,90
R42,Top,2.560,3.563,90
R43,Top,2.754,3.335,90
R44,Top,2.880,2.895,90
R45,Top,2.792,2.895,90
R46,Top,2.615,3.336,90
R47,Top,2.494,2.896,90
R48,Top,2.593,2.896,90
R49,Top,5.613,1.239,180
R50,Top,1.990,2.436,180
R51,Top,1.554,2.574,180
R52,Top,1.538,2.461,90
R53,Top,5.667,1.096,90
R54,Top,2.578,2.721,180
R55,Bottom,2.644,3.856,90
R56,Bottom,2.524,3.419,90
R57,Bottom,2.617,3.420,90
R58,Bottom,2.782,3.857,90
R59,Bottom,2.894,3.417,90
R60,Bottom,2.805,3.417,90
R61,Bottom,2.633,3.163,90
R62,Bottom,2.517,2.732,90
R63,Bottom,2.605,2.732,90
R64,Bottom,2.772,3.163,90
R65,Bottom,2.902,2.735,90
R66,Bottom,2.809,2.733,90
R67,Bottom,1.984,3.869,90
R68,Bottom,1.866,3.436,90
R69,Bottom,1.960,3.436,90
R70,Bottom,2.121,3.874,90
R71,Bottom,2.242,3.433,90
R72,Bottom,2.145,3.434,90
R73,Bottom,2.000,3.148,90
R74,Bottom,1.881,2.715,90
R75,Bottom,1.969,2.714,90
R76,Bottom,2.137,3.148,90
R77,Bottom,2.255,2.715,90
R78,Bottom,2.158,2.715,90
R79,Bottom,1.397,3.865,90
R80,Bottom,1.281,3.432,90
R81,Bottom,1.371,3.433,90
R82,Bottom,1.535,3.867,90
R83,Bottom,1.665,3.431,90
R84,Bottom,1.573,3.432,90
R85,Bottom,1.382,3.154,90
R86,Bottom,1.260,2.724,90
R87,Bottom,1.352,2.724,90
R88,Bottom,1.519,3.157,90
R89,Bottom,1.636,2.724,90
R90,Bottom,1.539,2.724,90
R91,Bottom,0.745,3.833,90
R92,Bottom,0.626,3.398,90
R93,Bottom,0.717,3.398,90
R94,Bottom,0.884,3.835,90
R95,Bottom,1.002,3.398,90
R96,Bottom,0.906,3.397,90
R97,Bottom,0.756,3.163,90
R98,Bottom,0.637,2.732,90
R99,Bottom,0.730,2.731,90
R100,Bottom,0.893,3.163,90
R101,Bottom,1.010,2.731,90
R102,Bottom,0.919,2.732,90
R103,Top,5.906,1.227,180
R104,Bottom,2.430,2.282,270
R105,Bottom,2.022,2.261,90
R106,Bottom,2.022,2.389,270
R107,Top,5.944,1.098,90
R108,Bottom,1.656,2.506,180
R109,Top,5.330,0.981,0
R110,Top,4.900,0.867,0
R111,Top,4.900,0.957,0
R112,Top,5.327,1.141,90
R113,Top,4.898,1.239,0
R114,Top,4.898,1.146,0
R115,Top,5.266,1.462,270
R116,Top,5.151,1.891,270
R117,Top,5.239,1.891,270
R118,Top,5.427,1.465,0
R119,Top,5.520,1.891,270
R120,Top,5.426,1.891,270
R121,Top,5.791,1.450,270
R122,Top,5.675,1.885,270
R123,Top,5.770,1.884,270
R124,Top,5.948,1.459,0
R125,Top,6.044,1.885,270
R126,Top,5.952,1.885,270
R127,Top,6.304,1.406,270
R128,Top,6.187,1.839,270
R129,Top,6.281,1.839,270
R130,Top,6.459,1.408,0
R131,Top,6.557,1.840,270
R132,Top,6.466,1.841,270
R133,Top,6.182,1.233,180
R134,Top,5.220,2.561,180
R135,Top,5.231,2.174,270
R136,Top,5.336,2.153,180
R137,Top,6.369,1.291,180
R138,Top,5.594,2.102,0
R139,Top,0.387,3.826,90
R140,Top,0.387,3.956,90
R141,Top,0.389,4.085,90
R142,Top,0.388,4.220,270
R143,Bottom,6.280,0.290,0
R144,Bottom,6.278,0.390,0
R145,Bottom,6.278,0.490,0
R146,Bottom,6.280,0.587,0
R147,Top,6.463,4.243,270
R148,Top,6.463,3.727,270
R149,Top,6.289,4.245,270
R150,Top,6.288,3.725,270
R151,Top,6.115,4.246,270
R152,Top,6.116,3.725,270
R153,Top,5.941,4.248,270
R154,Top,5.942,3.724,270
R155,Top,5.758,4.250,270
R156,Top,5.758,3.724,270
R157,Top,5.584,4.250,270
R158,Top,5.584,3.723,270
R159,Top,5.415,4.245,270
R160,Top,5.414,3.722,270
R161,Top,5.241,4.246,270
R162,Top,5.243,3.724,270
R163,Top,0.108,4.380,180
R164,Top,6.499,1.173,90
R165,Top,6.220,1.102,90
U1,Top,1.741,2.562,180
U2,Top,2.579,2.534,90
U3,Top,2.295,2.465,180
U4,Bottom,2.210,2.306,0
U5,Bottom,1.656,2.333,90
U6,Bottom,2.570,1.501,0
U7,Top,5.245,2.372,270
U8,Top,5.568,2.281,270
U9,Top,5.997,2.425,90
U11,Top,1.668,1.882,0
U12,Top,5.251,2.756,270
U13,Bottom,2.640,2.315,0
U14,Top,0.757,3.571,0
U15,Top,0.782,2.847,0
U16,Top,1.373,3.786,0
U17,Top,1.388,3.055,0
U18,Top,2.009,3.761,0
U19,Top,2.048,3.040,0
U20,Top,2.655,3.728,0
U21,Top,2.704,3.071,0
U22,Bottom,2.713,3.595,0
U23,Bottom,2.708,2.909,0
U24,Bottom,2.048,3.608,0
U25,Bottom,2.068,2.901,0
U26,Bottom,1.463,3.601,0
U27,Bottom,1.446,2.912,0
U28,Bottom,0.825,3.582,0
