Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DATALOGGER_CA_ADC_V1.brd" as of: 12/02/2021 12:21 p. m.
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.606,1.020,0
C2,Top,0.648,1.227,270
C3,Top,0.562,1.390,90
C4,Bottom,0.683,0.934,0
C5,Bottom,0.642,1.223,270
C6,Bottom,0.736,1.384,90
C7,Top,0.855,1.018,0
C8,Top,0.898,1.224,270
C9,Top,0.802,1.384,90
C10,Bottom,0.932,0.935,0
C11,Bottom,0.891,1.220,270
C12,Bottom,0.982,1.381,90
C13,Top,1.097,0.935,0
C14,Top,1.139,1.222,270
C15,Top,1.049,1.383,90
C16,Bottom,1.176,0.935,0
C17,Bottom,1.131,1.220,270
C18,Bottom,1.222,1.381,90
C19,Top,1.343,0.934,0
C20,Top,1.387,1.219,270
C21,Top,1.295,1.378,90
C22,Bottom,1.419,0.931,0
C23,Bottom,1.375,1.218,270
C24,Bottom,1.467,1.378,90
C25,Top,1.924,0.926,0
C26,Top,1.967,1.212,270
C27,Top,1.874,1.373,90
C28,Bottom,1.999,0.926,0
C29,Bottom,1.957,1.213,270
C30,Bottom,2.046,1.373,90
C31,Top,2.175,0.925,0
C32,Top,2.218,1.209,270
C33,Top,2.128,1.369,90
C34,Bottom,2.246,0.925,0
C35,Bottom,2.204,1.210,270
C36,Bottom,2.296,1.370,90
C37,Top,2.425,0.928,0
C38,Top,2.468,1.215,270
C39,Top,2.375,1.374,90
C40,Bottom,2.499,0.927,0
C41,Bottom,2.457,1.213,270
C42,Bottom,2.548,1.372,90
C43,Top,2.680,0.925,0
C44,Top,2.726,1.209,270
C45,Top,2.632,1.369,90
C46,Bottom,2.753,0.925,0
C47,Bottom,2.709,1.209,270
C48,Bottom,2.802,1.370,90
IC1,Top,0.607,0.807,270
IC2,Bottom,0.681,0.806,270
IC3,Top,0.670,1.395,0
IC4,Bottom,0.628,1.385,0
IC5,Top,0.856,0.810,270
IC6,Top,0.911,1.385,0
IC7,Bottom,0.930,0.809,270
IC8,Bottom,0.875,1.378,0
IC9,Top,1.100,0.810,270
IC10,Top,1.157,1.383,0
IC11,Bottom,1.176,0.810,270
IC12,Bottom,1.114,1.379,0
IC13,Top,1.343,0.808,270
IC14,Top,1.404,1.376,0
IC15,Bottom,1.419,0.805,270
IC16,Bottom,1.357,1.377,0
IC17,Top,1.924,0.800,270
IC18,Top,1.983,1.370,0
IC19,Bottom,1.998,0.801,270
IC20,Bottom,1.939,1.370,0
IC21,Top,2.174,0.800,270
IC22,Top,2.233,1.367,0
IC23,Bottom,2.248,0.800,270
IC24,Bottom,2.189,1.367,0
IC25,Top,2.424,0.801,270
IC26,Top,2.484,1.372,0
IC27,Bottom,2.499,0.802,270
IC28,Bottom,2.440,1.370,0
IC29,Top,2.678,0.800,270
IC30,Top,2.741,1.367,0
IC31,Bottom,2.752,0.799,270
IC32,Bottom,2.693,1.368,0
R1,Top,0.607,0.936,0
R2,Top,0.566,1.228,90
R3,Top,0.607,1.106,180
R4,Bottom,0.683,1.017,0
R5,Bottom,0.726,1.223,90
R6,Bottom,0.683,1.101,180
R7,Top,0.855,0.936,0
R8,Top,0.815,1.224,90
R9,Top,0.856,1.102,180
R10,Bottom,0.932,1.018,0
R11,Bottom,0.975,1.220,90
R12,Bottom,0.933,1.100,180
R13,Top,1.098,1.018,0
R14,Top,1.056,1.222,90
R15,Top,1.097,1.101,180
R16,Bottom,1.176,1.017,0
R17,Bottom,1.218,1.220,90
R18,Bottom,1.175,1.099,180
R19,Top,1.343,1.016,0
R20,Top,1.301,1.219,90
R21,Top,1.344,1.098,180
R22,Bottom,1.420,1.013,0
R23,Bottom,1.461,1.218,90
R24,Bottom,1.419,1.096,180
R25,Top,1.924,1.009,0
R26,Top,1.883,1.212,90
R27,Top,1.924,1.091,180
R28,Bottom,1.999,1.009,0
R29,Bottom,2.042,1.213,90
R30,Bottom,1.999,1.092,180
R31,Top,2.174,1.007,0
R32,Top,2.133,1.209,90
R33,Top,2.174,1.088,180
R34,Bottom,2.246,1.007,0
R35,Bottom,2.287,1.210,90
R36,Bottom,2.246,1.089,180
R37,Top,2.424,1.010,0
R38,Top,2.381,1.214,90
R39,Top,2.425,1.093,180
R40,Bottom,2.499,1.009,0
R41,Bottom,2.541,1.213,90
R42,Bottom,2.500,1.091,180
R43,Top,2.680,1.007,0
R44,Top,2.637,1.209,90
R45,Top,2.680,1.089,180
R46,Bottom,2.753,1.007,0
R47,Bottom,2.794,1.209,90
R48,Bottom,2.752,1.089,180
