Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "DATALOGGER_CA_ADC_V1.brd" as of: 20/03/2021 01:46 p. m.
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.645,1.077,0
C2,Top,0.448,1.252,270
C3,Top,0.362,1.415,90
C4,Bottom,0.415,0.988,0
C5,Bottom,0.613,1.234,270
C6,Bottom,0.707,1.395,90
C7,Top,1.191,1.084,0
C8,Top,0.997,1.245,270
C9,Top,0.901,1.405,90
C10,Bottom,0.936,0.983,0
C11,Bottom,1.125,1.224,270
C12,Bottom,1.221,1.386,90
C13,Top,1.881,1.004,0
C14,Top,1.687,1.255,270
C15,Top,1.597,1.416,90
C16,Bottom,1.695,1.009,0
C17,Bottom,1.890,1.251,270
C18,Bottom,1.980,1.411,90
C19,Top,2.428,1.028,0
C20,Top,2.238,1.265,270
C21,Top,2.130,1.424,90
C22,Bottom,2.213,1.001,0
C23,Bottom,2.406,1.244,270
C24,Bottom,2.498,1.404,90
C25,Top,3.088,1.013,0
C26,Top,2.892,1.258,270
C27,Top,2.800,1.419,90
C28,Bottom,2.854,1.020,0
C29,Bottom,3.048,1.257,270
C30,Bottom,3.137,1.417,90
C31,Top,3.611,1.014,0
C32,Top,3.427,1.250,270
C33,Top,3.337,1.409,90
C34,Bottom,3.383,1.022,0
C35,Bottom,3.583,1.258,270
C36,Bottom,3.676,1.417,90
C37,Top,4.353,1.006,0
C38,Top,4.161,1.250,270
C39,Top,4.068,1.409,90
C40,Bottom,4.134,1.018,0
C41,Bottom,4.333,1.255,270
C42,Bottom,4.425,1.413,90
C43,Top,4.913,1.009,0
C44,Top,4.716,1.251,270
C45,Top,4.623,1.410,90
C46,Bottom,4.656,1.011,0
C47,Bottom,4.854,1.253,270
C48,Bottom,4.947,1.412,90
C49,Top,0.645,1.248,0
C50,Top,0.644,1.162,0
C51,Bottom,0.415,1.155,0
C52,Bottom,0.415,1.238,0
C53,Top,1.192,1.252,0
C54,Top,1.192,1.167,0
C55,Bottom,0.936,1.232,0
C56,Bottom,0.936,1.149,0
C57,Top,1.882,1.171,0
C58,Top,1.882,1.256,0
C59,Bottom,1.695,1.258,0
C60,Bottom,1.695,1.175,0
C61,Bottom,2.215,1.248,0
C62,Bottom,2.215,1.165,0
C63,Top,2.428,1.272,0
C64,Top,2.429,1.191,0
C65,Bottom,2.854,1.270,0
C66,Bottom,2.854,1.188,0
C67,Top,3.088,1.262,0
C68,Top,3.088,1.179,0
C69,Top,3.611,1.260,0
C70,Top,3.610,1.179,0
C71,Bottom,3.384,1.185,0
C72,Bottom,3.384,1.266,0
C73,Bottom,4.135,1.180,0
C74,Bottom,4.135,1.266,0
C75,Top,4.351,1.256,0
C76,Top,4.352,1.172,0
C77,Bottom,4.655,1.258,0
C78,Bottom,4.655,1.175,0
C79,Top,4.913,1.256,0
C80,Top,4.913,1.173,0
C81,Top,0.413,1.038,0
C82,Top,0.469,0.730,180
C83,Bottom,0.653,1.026,0
C84,Bottom,0.654,0.734,0
C85,Top,0.954,1.032,0
C86,Top,0.981,0.731,180
C87,Bottom,1.167,1.022,0
C88,Bottom,1.171,0.726,180
C89,Top,1.647,1.048,0
C90,Top,1.673,0.747,180
C91,Bottom,1.934,1.044,0
C92,Bottom,1.931,0.753,180
C93,Top,2.195,1.057,0
C94,Top,2.213,0.759,180
C95,Bottom,2.451,1.036,0
C96,Bottom,2.447,0.748,180
C97,Top,2.849,1.054,0
C98,Top,2.853,0.756,180
C99,Bottom,3.091,1.050,0
C100,Bottom,3.092,0.761,180
C101,Top,3.382,1.044,0
C102,Top,3.385,0.751,180
C103,Bottom,3.627,1.052,0
C104,Bottom,3.627,0.762,180
C105,Top,4.118,1.045,0
C106,Top,4.117,0.751,180
C107,Bottom,4.376,1.049,0
C108,Bottom,4.378,0.759,180
C109,Top,4.670,1.044,0
C110,Top,4.673,0.751,180
C111,Bottom,4.897,1.048,0
C112,Bottom,4.897,0.758,180
IC1,Top,0.645,0.864,270
IC2,Bottom,0.413,0.860,270
IC3,Top,0.470,1.420,0
IC4,Bottom,0.599,1.395,0
IC5,Top,1.193,0.863,270
IC6,Top,1.010,1.406,0
IC7,Bottom,0.934,0.857,270
IC8,Bottom,1.109,1.382,0
IC9,Top,1.884,0.878,270
IC10,Top,1.705,1.416,0
IC11,Bottom,1.695,0.884,270
IC12,Bottom,1.872,1.409,0
IC13,Top,2.428,0.889,270
IC14,Top,2.255,1.421,0
IC15,Bottom,2.213,0.871,270
IC16,Bottom,2.389,1.403,0
